Number;NumberGraphsPerFrameworkTypes
0;1174
1;847
2;401
3;163
4;157
5;154
6;132
7;117
8;116
9;96
10;84
11;83
12;74
13;57
14;55
15;47
16;44
17;40
18;39
19;36
20;36
21;34
22;33
23;33
24;32
25;28
26;27
27;26
28;26
29;25
30;25
31;25
32;24
33;24
34;24
35;24
36;24
37;24
38;23
39;22
40;21
41;19
42;19
43;19
44;19
45;17
46;17
47;17
48;17
49;16
50;15
51;15
52;14
53;13
54;13
55;12
56;12
57;12
58;12
59;12
60;11
61;11
62;11
63;10
64;10
65;10
66;10
67;10
68;9
69;9
70;8
71;8
72;8
73;8
74;8
75;8
76;8
77;7
78;7
79;7
80;7
81;6
82;6
83;6
84;6
85;6
86;6
87;6
88;6
89;6
90;5
91;5
92;5
93;5
94;5
95;5
96;5
97;5
98;5
99;5
100;5
101;5
102;5
103;4
104;4
105;4
106;4
107;4
108;4
109;4
110;4
111;4
112;4
113;4
114;4
115;4
116;4
117;4
118;4
119;4
120;3
121;3
122;3
123;3
124;3
125;3
126;3
127;3
128;3
129;3
130;3
131;3
132;3
133;3
134;3
135;3
136;3
137;3
138;3
139;3
140;3
141;3
142;3
143;3
144;3
145;3
146;3
147;3
148;2
149;2
150;2
151;2
152;2
153;2
154;2
155;2
156;2
157;2
158;2
159;2
160;2
161;2
162;2
163;2
164;2
165;2
166;2
167;2
168;2
169;2
170;2
171;2
172;2
173;2
174;2
175;2
176;2
177;2
178;2
179;2
180;2
181;2
182;2
183;2
184;2
185;2
186;2
187;2
188;1
189;1
190;1
191;1
192;1
193;1
194;1
195;1
196;1
197;1
198;1
199;1
200;1
201;1
202;1
203;1
204;1
205;1
206;1
207;1
208;1
209;1
210;1
211;1
212;1
213;1
214;1
215;1
216;1
217;1
218;1
219;1
220;1
221;1
222;1
223;1
224;1
225;1
226;1
227;1
228;1
229;1
230;1
231;1
232;1
233;1
234;1
235;1
236;1
237;1
238;1
239;1
240;1
241;1
242;1
243;1
244;1
245;1
246;1
247;1
248;1
249;1
250;1
251;1
252;1
253;1
254;1
255;1
256;1
257;1
258;1
259;1
260;1
261;1
262;1
263;1
264;1
265;1
266;1
267;1
268;1
269;1
270;1
271;1
272;1
273;1
274;1
275;1
276;1
277;1
278;1
279;1
280;1
281;1
282;1
283;1
284;1
