Number;NumberInterplaysPerFrameworkType
0;126
1;115
2;53
3;51
4;48
5;44
6;42
7;40
8;38
9;37
10;34
11;30
12;29
13;29
14;27
15;27
16;27
17;23
18;23
19;23
20;22
21;22
22;22
23;22
24;22
25;22
26;20
27;20
28;19
29;18
30;18
31;17
32;17
33;14
34;14
35;14
36;12
37;11
38;11
39;11
40;11
41;10
42;10
43;10
44;9
45;8
46;8
47;8
48;8
49;7
50;6
51;6
52;5
53;5
54;5
55;5
56;5
57;5
58;4
59;4
60;4
61;4
62;4
63;3
64;3
65;3
66;3
67;3
68;3
69;3
70;3
71;3
72;3
73;3
74;3
75;3
76;2
77;2
78;2
79;2
80;2
81;2
82;2
83;2
84;2
85;2
86;2
87;2
88;2
89;2
90;2
91;2
92;2
93;2
94;2
95;2
96;2
97;2
98;2
99;2
100;2
101;2
102;2
103;1
104;1
105;1
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;1
116;1
117;1
118;1
119;1
120;1
121;1
122;1
123;1
124;1
125;1
126;1
127;1
128;1
129;1
130;1
131;1
132;1
133;1
134;1
135;1
136;1
137;1
138;1
139;1
140;1
141;1
142;1
143;1
144;1
145;1
146;1
