Number;NumberInterplaysPerGraphs
0;1
1;2
2;1
3;3
4;1
5;1
6;1
7;3
8;1
9;1
10;2
11;1
12;1
13;1
14;1
15;1
16;3
17;1
18;1
19;1
20;1
21;1
22;1
23;2
24;1
25;1
26;1
27;1
28;2
29;2
30;1
31;1
32;2
33;2
34;1
35;1
36;1
37;1
38;1
39;2
40;1
41;2
42;1
43;1
44;4
45;1
46;1
47;1
48;1
49;3
50;1
51;2
52;3
53;2
54;1
55;1
56;1
57;3
58;3
59;2
60;1
61;2
62;3
63;2
64;1
65;1
66;1
67;3
68;1
69;2
70;1
71;1
72;8
73;7
74;2
75;1
76;1
77;3
78;1
79;1
80;7
81;8
82;1
83;1
84;1
85;1
86;1
87;3
88;1
89;1
90;1
91;3
92;1
93;1
94;3
95;2
96;1
97;1
98;1
99;2
100;1
101;1
102;1
103;3
104;1
105;5
106;1
107;2
108;1
109;1
110;1
111;3
112;1
113;1
114;3
115;2
116;2
117;1
118;5
119;1
120;2
121;3
122;3
123;2
124;2
125;1
126;1
127;1
128;1
129;1
130;2
131;1
132;1
133;1
134;1
135;1
136;1
137;1
138;4
139;4
140;4
141;2
142;2
143;1
144;1
145;1
146;2
147;2
148;2
149;1
150;1
151;1
152;5
153;2
154;2
155;1
156;4
157;1
158;2
159;2
160;7
161;1
162;1
163;1
164;1
165;4
166;1
167;1
168;1
169;1
170;2
171;1
172;1
173;1
174;1
175;4
176;2
177;1
178;1
179;1
180;2
181;2
182;1
183;1
184;1
185;9
186;1
187;1
188;1
189;1
190;1
191;1
192;1
193;1
194;1
195;2
196;1
197;1
198;1
199;1
200;2
201;1
202;1
203;1
204;1
205;1
206;1
207;2
208;1
209;1
210;1
211;1
212;1
213;1
214;7
215;1
216;1
217;1
218;1
219;1
220;3
221;4
222;1
223;2
224;2
225;1
226;1
227;3
228;2
229;3
230;1
231;5
232;1
233;1
234;4
235;2
236;3
237;1
238;2
239;4
240;5
241;5
242;1
243;2
244;2
245;2
246;2
247;1
248;1
249;1
250;1
251;8
252;1
253;1
254;1
255;1
256;1
257;1
258;1
259;1
260;1
261;1
262;3
263;1
264;1
265;4
266;1
267;1
268;1
269;1
270;1
271;1
272;1
273;1
274;1
275;1
276;1
277;1
278;3
279;3
280;1
281;1
282;1
283;2
284;3
285;1
286;1
287;1
288;1
289;1
290;1
291;1
292;1
293;1
294;1
295;1
296;1
297;1
298;1
299;13
300;2
301;4
302;2
303;5
304;2
305;4
306;1
307;1
308;1
309;1
310;1
311;1
312;2
313;2
314;1
315;1
316;1
317;2
318;2
319;1
320;1
321;2
322;3
323;1
324;1
325;1
326;1
327;1
328;2
329;1
330;1
331;1
332;1
333;1
334;1
335;1
336;3
337;3
338;1
339;2
340;1
341;1
342;1
343;1
344;1
345;2
346;2
347;1
348;10
349;1
350;1
351;1
352;1
353;1
354;1
355;1
356;1
357;1
358;1
359;1
360;2
361;2
362;2
363;1
364;2
365;2
366;1
367;2
368;3
369;2
370;2
371;1
372;1
373;1
374;1
375;2
376;1
377;9
378;1
379;2
380;1
381;2
382;2
383;1
384;4
385;1
386;1
387;1
388;1
389;2
390;1
391;1
392;1
393;6
394;1
395;3
396;1
397;1
398;1
399;1
400;2
401;1
402;1
403;1
404;3
405;1
406;3
407;1
408;1
409;1
410;1
411;1
412;2
413;2
414;2
415;1
416;1
417;2
418;2
419;1
420;1
421;1
422;1
423;1
424;2
425;1
426;1
427;2
428;4
429;1
430;1
431;1
432;1
433;3
434;1
435;1
436;2
437;1
438;1
439;3
440;1
441;5
442;1
443;1
444;1
445;1
446;1
447;1
448;2
449;7
450;2
451;5
452;3
453;2
454;1
455;1
456;4
457;2
458;2
459;1
460;2
461;2
462;1
463;1
464;1
465;1
466;1
467;1
468;3
469;5
470;1
471;3
472;1
473;1
474;2
475;1
476;1
477;1
478;1
479;1
480;2
481;3
482;1
483;1
484;6
485;3
486;2
487;1
488;2
489;2
490;4
491;1
492;1
493;1
494;2
495;1
496;2
497;2
498;1
499;3
500;1
501;1
502;2
503;3
504;1
505;1
506;1
507;2
508;1
509;1
510;1
511;1
512;1
513;1
514;1
515;1
516;1
517;1
518;1
519;1
520;2
521;4
522;1
523;1
524;1
525;1
526;1
527;1
528;1
529;2
530;1
531;1
532;1
533;1
534;1
535;1
536;1
537;1
538;1
539;1
540;1
541;1
542;3
543;1
544;1
545;1
546;1
547;1
548;4
549;1
550;1
551;1
552;2
553;2
554;1
555;1
556;1
557;1
558;3
559;1
560;1
561;1
562;1
563;2
564;1
565;1
566;1
567;2
568;1
569;2
570;1
571;1
572;1
573;2
574;1
575;1
576;1
577;2
578;1
579;1
580;1
581;1
582;1
583;1
584;1
585;1
586;1
587;1
588;1
589;3
590;1
591;1
592;1
593;1
594;1
595;1
596;1
597;1
598;1
599;1
600;1
601;1
602;1
603;1
604;1
605;2
606;4
607;2
608;4
609;9
610;1
611;3
612;1
613;1
614;2
615;4
616;3
617;1
618;2
619;1
620;1
621;1
622;2
623;1
624;1
625;1
626;1
627;3
628;1
629;1
630;1
631;2
632;1
633;1
634;1
635;4
636;1
637;1
638;1
639;1
640;1
641;1
642;1
643;2
644;1
645;2
646;4
647;1
648;2
649;1
650;1
651;1
652;1
653;1
654;1
655;1
656;1
657;1
658;1
659;1
660;2
661;1
662;1
663;2
664;1
665;1
666;3
667;1
668;2
669;1
670;10
671;1
672;1
673;1
674;3
675;2
676;1
677;1
678;1
679;3
680;4
681;3
682;2
683;1
684;1
685;1
686;1
687;1
688;1
689;1
690;1
691;1
692;1
693;1
694;1
695;1
696;1
697;1
698;1
699;1
700;1
701;1
702;1
703;1
704;1
705;1
706;1
707;1
708;1
709;1
710;1
711;1
712;1
713;2
714;1
715;1
716;1
717;1
718;1
719;1
720;1
721;1
722;1
723;1
724;1
725;1
726;1
727;1
728;1
729;1
730;1
731;1
732;1
733;2
734;1
735;1
736;1
737;1
738;1
739;1
740;1
741;1
742;1
743;1
744;1
745;2
746;1
747;2
748;1
749;2
750;1
751;1
752;2
753;1
754;1
755;2
756;1
757;1
758;1
759;1
760;2
761;1
762;1
763;1
764;1
765;1
766;2
767;1
768;3
769;2
770;3
771;1
772;2
773;5
774;2
775;1
776;1
777;2
778;1
779;1
780;2
781;3
782;3
783;2
784;1
785;3
786;1
787;3
788;2
789;1
790;1
791;1
792;2
793;1
794;2
795;5
796;7
797;3
798;2
799;1
800;1
801;2
802;1
803;1
804;2
805;5
806;1
807;5
808;6
809;4
810;1
811;1
812;4
813;1
814;1
815;2
816;2
817;7
818;1
819;2
820;2
821;9
822;4
823;1
824;1
825;1
826;1
827;1
828;3
829;2
830;2
831;1
832;1
833;2
834;1
835;2
836;1
837;1
838;8
839;3
840;8
841;2
842;1
843;1
844;1
845;2
846;1
847;1
848;1
849;1
850;1
851;3
852;1
853;1
854;4
855;1
856;1
857;1
858;1
859;1
860;1
861;1
862;1
863;1
864;2
865;1
866;1
867;2
868;2
869;1
870;2
871;1
872;1
873;6
874;2
875;1
876;1
877;1
878;1
879;2
880;6
881;1
882;1
883;1
884;1
885;1
886;1
887;1
888;1
889;1
890;1
891;1
892;8
893;2
894;3
895;3
896;1
897;1
898;1
899;4
900;3
901;1
902;1
903;1
904;1
905;1
906;1
907;1
908;1
909;1
910;2
911;2
912;1
913;1
914;3
915;1
916;4
917;1
918;1
919;1
920;2
921;1
922;1
923;2
924;2
925;1
926;1
927;1
928;1
929;1
930;2
931;4
932;1
933;1
934;1
935;2
936;1
937;1
938;1
939;4
940;1
941;1
942;2
943;1
944;3
945;1
946;8
947;2
948;6
949;2
950;1
951;1
952;2
953;1
954;1
955;1
956;5
957;1
958;1
959;1
