Number;NumberInterplaysPerProjects
0;64
1;63
2;55
3;37
4;30
5;29
6;28
7;25
8;24
9;24
10;22
11;19
12;17
13;17
14;16
15;15
16;15
17;14
18;14
19;13
20;13
21;13
22;13
23;13
24;13
25;12
26;12
27;12
28;12
29;11
30;11
31;10
32;10
33;9
34;9
35;8
36;8
37;8
38;8
39;8
40;7
41;7
42;7
43;7
44;7
45;7
46;7
47;7
48;7
49;7
50;6
51;6
52;6
53;6
54;6
55;6
56;6
57;6
58;6
59;6
60;6
61;6
62;5
63;5
64;5
65;5
66;5
67;5
68;5
69;5
70;4
71;4
72;4
73;4
74;4
75;4
76;4
77;4
78;4
79;4
80;4
81;3
82;3
83;3
84;3
85;3
86;3
87;3
88;3
89;3
90;3
91;3
92;3
93;3
94;3
95;3
96;3
97;3
98;3
99;3
100;3
101;3
102;3
103;3
104;3
105;3
106;3
107;3
108;3
109;3
110;3
111;3
112;2
113;2
114;2
115;2
116;2
117;2
118;2
119;2
120;2
121;2
122;2
123;2
124;2
125;2
126;1
127;1
128;1
129;1
130;1
131;1
132;1
133;1
134;1
135;1
136;1
137;1
138;1
139;1
140;1
141;1
142;1
143;1
144;1
