Number;NumberGraphsPerFrameworkTypes
0;174
1;140
2;128
3;115
4;111
5;111
6;108
7;107
8;107
9;107
10;81
11;50
12;39
13;38
14;32
15;25
16;25
17;25
18;24
19;23
20;16
21;16
22;14
23;13
24;12
25;12
26;10
27;10
28;9
29;9
30;9
31;8
32;8
33;7
34;6
35;6
36;5
37;5
38;5
39;4
40;4
41;4
42;4
43;4
44;4
45;4
46;4
47;4
48;4
49;3
50;3
51;3
52;3
53;3
54;3
55;3
56;3
57;3
58;3
59;3
60;3
61;3
62;2
63;2
64;2
65;2
66;2
67;2
68;2
69;2
70;2
71;2
72;2
73;2
74;2
75;2
76;2
77;2
78;2
79;2
80;2
81;2
82;2
83;2
84;2
85;2
86;2
87;2
88;2
89;2
90;2
91;1
92;1
93;1
94;1
95;1
96;1
97;1
98;1
99;1
100;1
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;1
116;1
117;1
118;1
119;1
120;1
121;1
122;1
123;1
124;1
125;1
126;1
127;1
128;1
129;1
130;1
131;1
132;1
133;1
134;1
135;1
136;1
137;1
138;1
139;1
140;1
141;1
142;1
143;1
144;1
145;1
146;1
147;1
148;1
149;1
150;1
151;1
152;1
153;1
154;1
155;1
156;1
157;1
158;1
159;1
160;1
161;1
162;1
163;1
164;1
165;1
166;1
167;1
168;1
169;1
170;1
171;1
172;1
173;1
