Number;NumberInterplaysPerGraphs
0;2
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;4
9;4
10;2
11;1
12;1
13;2
14;1
15;5
16;1
17;5
18;8
19;1
20;5
21;4
22;1
23;1
24;1
25;1
26;1
27;1
28;1
29;3
30;1
31;1
32;1
33;2
34;1
35;1
36;2
37;2
38;3
39;1
40;5
41;5
42;5
43;5
44;5
45;5
46;5
47;5
48;5
49;5
50;5
51;1
52;1
53;7
54;1
55;1
56;1
57;1
58;2
59;1
60;1
61;1
62;1
63;1
64;1
65;1
66;1
67;1
68;2
69;1
70;1
71;2
72;1
73;1
74;1
75;1
76;5
77;1
78;1
79;2
80;2
81;3
82;2
83;5
84;1
85;5
86;3
87;2
88;1
89;2
90;1
91;1
92;2
93;5
94;1
95;1
96;4
97;4
98;1
99;1
100;1
101;3
102;1
103;1
104;2
105;1
106;1
107;5
108;1
109;2
110;1
111;1
112;1
113;1
114;2
115;1
116;1
117;1
118;1
119;2
120;6
121;6
122;6
123;6
124;6
125;6
126;2
127;2
128;4
129;2
130;3
131;3
132;4
133;1
134;4
135;4
136;2
137;1
138;2
139;5
140;2
141;2
142;2
143;2
144;3
145;2
146;1
147;1
148;1
149;1
150;2
151;1
152;2
153;1
154;1
155;1
156;1
157;2
158;1
159;1
160;1
161;1
162;1
163;2
164;1
165;1
166;3
167;2
168;1
169;1
170;1
171;1
172;1
173;1
174;1
175;2
176;2
177;1
178;3
179;1
180;1
181;1
182;1
183;1
184;1
185;1
186;1
187;1
188;1
189;1
190;1
191;1
192;1
193;1
194;1
195;2
196;1
197;3
198;1
199;2
200;1
201;2
202;2
