Number;SizeGraphs
0;69
1;69
2;69
3;69
4;69
5;86
6;6
7;6
8;6
9;6
10;6
11;6
12;6
13;6
14;6
15;6
16;6
17;6
18;6
19;6
20;6
21;6
22;6
23;6
24;6
25;6
26;6
27;6
28;6
29;6
30;6
31;6
32;6
33;6
34;6
35;6
36;6
37;6
38;6
39;6
40;6
41;6
42;6
43;6
44;6
45;6
46;6
47;6
48;6
49;6
50;6
51;6
52;6
53;6
54;6
55;6
56;6
57;6
58;6
59;6
60;6
61;6
62;6
63;6
64;6
65;6
66;6
67;6
68;6
69;6
70;6
71;6
72;6
73;9
74;9
75;9
76;9
77;9
78;9
79;9
80;9
81;9
82;9
83;9
84;9
85;9
86;9
87;9
88;9
89;9
90;9
91;9
92;9
93;9
94;9
95;9
96;9
97;9
98;9
99;9
100;9
101;9
102;9
103;9
104;9
105;9
106;9
107;9
108;9
109;9
110;9
111;9
112;9
113;9
114;9
115;9
116;67
117;67
118;67
119;41
120;41
121;41
122;41
123;41
124;41
125;41
126;41
127;41
128;41
129;63
130;63
131;63
132;40
133;40
134;40
135;40
136;40
137;40
138;40
139;40
140;42
141;42
142;42
143;42
144;42
145;118
146;44
147;44
148;44
149;44
150;44
151;44
152;44
153;44
154;44
155;13
156;13
157;13
158;13
159;13
160;13
161;13
162;13
163;13
164;13
165;13
166;13
167;13
168;13
169;13
170;13
171;13
172;13
173;13
174;13
175;13
176;13
177;13
178;13
179;13
180;13
181;13
182;13
183;13
184;13
185;13
186;13
187;13
188;13
189;13
190;13
191;20
192;20
193;20
194;20
195;20
196;20
197;20
198;20
199;20
200;20
201;20
202;20
203;20
204;20
205;20
206;20
207;20
208;20
209;20
210;20
211;20
212;20
213;20
214;20
215;20
216;20
217;65
218;39
219;39
220;39
221;39
222;39
223;52
224;52
225;52
226;52
227;52
228;58
229;58
230;58
231;58
232;58
233;56
234;56
235;56
236;56
237;25
238;25
239;25
240;25
241;25
242;25
243;25
244;25
245;25
246;25
247;25
248;75
249;109
250;109
251;109
252;109
253;109
254;109
255;109
256;109
257;109
258;109
259;109
260;50
261;50
262;50
263;50
264;50
265;50
266;50
267;50
268;50
269;35
270;35
271;35
272;35
273;35
274;35
275;35
276;35
277;15
278;15
279;15
280;15
281;15
282;15
283;15
284;15
285;15
286;15
287;15
288;15
289;15
290;15
291;15
292;15
293;15
294;15
295;15
296;15
297;15
298;15
299;15
300;15
301;15
302;15
303;15
304;47
305;47
306;47
307;47
308;47
309;47
310;64
311;64
312;64
313;8
314;8
315;8
316;8
317;8
318;8
319;8
320;8
321;8
322;8
323;8
324;8
325;8
326;8
327;8
328;8
329;8
330;8
331;8
332;8
333;8
334;8
335;8
336;8
337;8
338;8
339;8
340;8
341;8
342;8
343;8
344;8
345;8
346;8
347;8
348;8
349;8
350;8
351;8
352;8
353;8
354;8
355;8
356;8
357;8
358;8
359;8
360;8
361;8
362;8
363;8
364;8
365;8
366;8
367;8
368;8
369;8
370;16
371;16
372;16
373;16
374;16
375;16
376;16
377;16
378;16
379;16
380;16
381;16
382;16
383;16
384;16
385;16
386;16
387;16
388;16
389;16
390;16
391;16
392;16
393;16
394;16
395;16
396;16
397;16
398;16
399;16
400;16
401;16
402;16
403;16
404;16
405;16
406;16
407;16
408;16
409;16
410;36
411;36
412;36
413;36
414;36
415;36
416;36
417;36
418;36
419;36
420;36
421;36
422;45
423;45
424;45
425;81
426;26
427;26
428;26
429;26
430;26
431;26
432;26
433;26
434;26
435;26
436;26
437;26
438;26
439;26
440;60
441;60
442;60
443;60
444;43
445;43
446;43
447;43
448;43
449;43
450;43
451;43
452;32
453;32
454;32
455;32
456;32
457;32
458;32
459;32
460;32
461;32
462;32
463;32
464;27
465;27
466;27
467;27
468;27
469;27
470;27
471;27
472;27
473;27
474;27
475;27
476;27
477;27
478;38
479;38
480;38
481;38
482;38
483;38
484;38
485;38
486;70
487;70
488;70
489;70
490;53
491;53
492;53
493;53
494;53
495;53
496;107
497;107
498;105
499;55
500;55
501;55
502;55
503;55
504;51
505;51
506;51
507;78
508;3
509;3
510;3
511;3
512;3
513;3
514;3
515;3
516;3
517;3
518;3
519;3
520;3
521;3
522;3
523;3
524;3
525;3
526;3
527;3
528;3
529;3
530;3
531;3
532;3
533;3
534;3
535;3
536;3
537;3
538;3
539;3
540;3
541;3
542;3
543;3
544;3
545;3
546;3
547;3
548;3
549;3
550;3
551;3
552;3
553;3
554;3
555;3
556;3
557;3
558;3
559;3
560;3
561;3
562;3
563;3
564;3
565;3
566;3
567;3
568;3
569;3
570;3
571;3
572;3
573;3
574;3
575;3
576;3
577;3
578;3
579;3
580;3
581;3
582;3
583;3
584;3
585;3
586;3
587;3
588;3
589;3
590;3
591;3
592;3
593;3
594;3
595;3
596;3
597;3
598;3
599;3
600;3
601;3
602;3
603;3
604;3
605;3
606;3
607;3
608;3
609;3
610;3
611;3
612;3
613;3
614;3
615;3
616;3
617;3
618;3
619;3
620;3
621;48
622;48
623;48
624;48
625;48
626;48
627;48
628;5
629;5
630;5
631;5
632;5
633;5
634;5
635;5
636;5
637;5
638;5
639;5
640;5
641;5
642;5
643;5
644;5
645;5
646;5
647;5
648;5
649;5
650;5
651;5
652;5
653;5
654;5
655;5
656;5
657;5
658;5
659;5
660;5
661;5
662;5
663;5
664;5
665;5
666;5
667;5
668;5
669;5
670;5
671;5
672;5
673;5
674;5
675;5
676;5
677;5
678;5
679;5
680;5
681;5
682;5
683;5
684;5
685;5
686;5
687;5
688;5
689;5
690;5
691;5
692;5
693;5
694;5
695;5
696;5
697;5
698;5
699;5
700;5
701;5
702;5
703;84
704;80
705;46
706;46
707;46
708;46
709;46
710;46
711;46
712;46
713;46
714;14
715;14
716;14
717;14
718;14
719;14
720;14
721;14
722;14
723;14
724;14
725;14
726;14
727;14
728;14
729;14
730;14
731;14
732;14
733;14
734;14
735;14
736;14
737;14
738;14
739;14
740;14
741;14
742;14
743;14
744;14
745;14
746;14
747;14
748;14
749;14
750;14
751;14
752;14
753;14
754;49
755;49
756;49
757;49
758;49
759;49
760;49
761;49
762;49
763;49
764;10
765;10
766;10
767;10
768;10
769;10
770;10
771;10
772;10
773;10
774;10
775;10
776;10
777;10
778;10
779;10
780;10
781;10
782;10
783;10
784;10
785;10
786;10
787;10
788;10
789;10
790;10
791;10
792;10
793;10
794;10
795;10
796;10
797;10
798;10
799;10
800;10
801;10
802;10
803;10
804;10
805;110
806;110
807;110
808;110
809;110
810;110
811;28
812;28
813;28
814;28
815;28
816;28
817;28
818;28
819;28
820;28
821;28
822;61
823;61
824;61
825;90
826;54
827;54
828;54
829;92
830;92
831;96
832;96
833;96
834;33
835;33
836;33
837;33
838;33
839;33
840;108
841;108
842;29
843;29
844;29
845;29
846;29
847;29
848;29
849;29
850;29
851;29
852;29
853;37
854;37
855;37
856;37
857;37
858;37
859;104
860;21
861;21
862;21
863;21
864;21
865;21
866;21
867;21
868;21
869;21
870;21
871;21
872;21
873;21
874;21
875;71
876;71
877;4
878;4
879;4
880;4
881;4
882;4
883;4
884;4
885;4
886;4
887;4
888;4
889;4
890;4
891;4
892;4
893;4
894;4
895;4
896;4
897;4
898;4
899;4
900;4
901;4
902;4
903;4
904;4
905;4
906;4
907;4
908;4
909;4
910;4
911;4
912;4
913;4
914;4
915;4
916;4
917;4
918;4
919;4
920;4
921;4
922;4
923;4
924;4
925;4
926;4
927;4
928;4
929;4
930;4
931;4
932;4
933;4
934;4
935;4
936;4
937;4
938;4
939;4
940;4
941;4
942;4
943;4
944;4
945;4
946;4
947;4
948;4
949;4
950;4
