Number;NumberInterplaysPerGraphs
0;1
1;3
2;1
3;1
4;2
5;1
6;1
7;1
8;3
9;2
10;2
11;1
12;1
13;3
14;1
15;1
16;3
17;2
18;1
19;3
20;1
21;1
22;1
23;2
24;1
25;2
26;1
27;2
28;1
29;1
30;1
31;1
32;3
33;1
34;1
35;2
36;1
37;1
38;1
39;1
40;1
41;3
42;1
43;1
44;1
45;5
46;1
47;3
48;2
49;2
50;4
51;1
52;1
53;2
54;1
55;1
56;2
57;1
58;1
59;4
60;1
61;2
62;1
63;2
64;1
65;3
66;2
67;1
68;2
69;1
70;1
71;1
72;1
73;1
74;1
75;1
76;1
77;1
78;2
79;1
80;1
81;1
82;1
83;1
84;2
85;1
86;1
87;2
88;1
89;1
90;3
91;1
92;3
93;1
94;1
95;1
96;2
97;1
98;1
99;1
100;1
101;1
102;1
103;3
104;2
105;3
106;2
107;1
108;2
109;3
110;3
111;1
112;1
113;3
114;1
115;1
116;3
117;1
118;1
119;2
120;2
121;2
122;2
123;1
124;1
125;1
126;1
127;1
128;1
129;1
130;4
131;1
132;1
133;1
134;1
135;1
136;1
137;2
138;1
139;2
140;1
141;1
142;2
143;1
144;2
145;2
146;1
147;2
148;1
149;1
150;1
151;1
152;2
153;3
154;1
155;3
156;1
157;1
158;3
159;1
160;1
161;1
162;1
163;3
164;1
165;1
166;1
167;2
168;2
169;1
170;1
171;1
172;1
173;1
174;1
175;1
176;1
177;1
178;1
179;4
180;1
181;1
182;1
183;2
184;1
185;1
186;6
187;1
188;4
189;2
190;2
191;1
192;1
193;1
194;1
195;1
196;1
197;1
198;3
199;2
200;2
201;4
202;2
203;2
204;1
205;1
206;2
207;1
208;1
209;2
210;1
211;1
212;1
213;1
214;1
215;1
216;1
217;1
218;3
219;2
220;1
221;2
222;2
223;1
224;1
225;1
226;1
227;4
228;1
229;1
230;1
231;3
232;1
233;2
234;2
235;1
236;2
237;1
238;4
239;1
240;1
241;1
242;1
243;2
244;2
245;1
246;2
247;5
248;1
249;3
250;3
251;2
252;1
253;1
254;1
255;1
256;2
257;1
258;2
259;1
260;1
261;1
262;2
263;1
264;1
265;1
266;1
267;1
268;2
269;1
270;2
271;1
272;1
273;1
274;1
275;1
276;1
277;1
278;1
279;1
280;1
281;1
282;1
283;1
284;1
285;1
286;1
287;1
288;1
289;1
290;1
291;2
292;1
293;1
294;1
295;1
296;2
297;1
298;3
299;1
300;1
301;1
302;4
303;2
304;1
305;2
306;1
307;1
308;1
309;1
310;1
311;1
312;2
313;1
314;1
315;1
316;4
317;1
318;1
319;1
320;1
321;2
322;1
323;1
324;1
325;1
326;1
327;1
328;1
329;2
330;1
331;2
332;1
333;1
334;1
335;1
336;1
337;1
338;1
339;1
340;1
341;6
342;1
343;1
344;3
345;1
346;1
347;1
348;3
349;1
350;1
351;1
352;1
353;1
354;4
355;7
356;2
357;1
358;5
359;1
360;1
361;1
362;1
363;1
364;4
365;2
366;1
367;1
368;1
369;2
370;1
371;1
372;1
373;2
374;1
375;1
376;1
377;1
378;1
379;1
380;1
381;1
382;1
383;2
384;2
385;2
386;1
387;1
388;2
389;1
390;2
391;2
392;4
393;1
394;1
395;1
396;2
397;1
398;1
399;3
400;1
401;1
402;1
403;3
404;5
405;1
406;1
407;1
408;1
409;1
410;5
411;1
412;1
413;1
414;1
415;1
416;1
417;4
418;1
419;1
420;1
421;1
422;1
423;1
424;1
425;2
426;2
427;1
428;1
429;1
430;1
431;1
432;2
433;1
434;4
435;1
436;2
437;1
438;1
439;2
440;2
441;2
442;1
443;2
444;1
445;1
446;2
447;1
448;1
449;1
450;1
451;1
452;1
453;1
454;1
455;1
456;3
457;1
458;1
459;1
460;1
461;1
462;3
463;2
464;1
465;3
466;1
467;2
468;1
469;2
470;1
471;1
472;1
473;1
474;2
475;4
476;1
477;1
478;1
479;1
480;3
481;1
482;1
483;1
484;1
485;1
486;1
487;1
488;1
489;2
490;1
491;1
492;1
493;1
494;1
495;1
496;1
497;1
498;5
499;1
500;1
501;1
502;1
503;1
504;1
505;1
506;1
507;1
508;1
509;2
510;4
511;5
512;1
513;1
514;1
515;1
516;1
517;2
518;2
519;2
520;1
521;1
522;1
523;1
524;1
525;1
526;1
527;2
528;2
529;1
530;2
531;1
532;1
533;1
534;2
535;1
536;1
537;1
538;1
539;2
540;2
541;1
542;1
543;1
544;1
545;1
546;1
547;3
548;2
549;2
550;2
551;2
552;2
553;2
554;1
555;1
556;1
557;1
558;1
559;1
560;1
561;2
562;2
563;1
564;1
565;1
566;1
567;2
568;1
569;1
570;1
571;2
572;1
573;1
574;3
575;1
576;1
577;4
578;2
579;1
580;1
581;1
582;1
583;2
584;1
585;4
586;1
587;1
588;1
589;1
590;1
591;1
592;2
593;2
594;2
595;2
596;2
597;1
598;2
599;1
600;1
601;1
602;1
603;1
604;2
605;1
606;1
607;3
608;2
609;1
610;1
611;1
612;2
613;2
614;2
615;1
616;2
617;3
618;4
619;4
620;2
621;1
622;1
623;2
624;1
625;3
626;2
627;1
628;1
629;1
630;5
631;1
632;2
633;1
634;1
635;1
636;1
637;1
638;1
639;1
640;1
641;1
642;1
643;1
644;1
645;1
646;1
647;2
648;1
649;4
650;3
651;1
652;1
653;1
654;1
655;2
656;1
657;1
658;1
659;1
660;1
661;1
662;1
663;1
664;4
665;1
666;1
667;1
668;1
669;1
670;3
671;1
672;1
673;1
674;1
675;1
676;1
677;1
678;1
679;1
680;2
681;2
682;1
683;1
684;1
685;1
686;1
687;1
688;1
689;1
690;1
691;1
692;2
693;2
694;1
695;1
696;1
697;3
698;2
699;1
700;1
701;1
702;2
703;1
704;1
705;1
706;1
707;3
708;1
709;1
710;1
711;1
712;1
713;1
714;1
715;1
716;1
717;2
718;1
719;1
720;1
721;1
722;1
723;1
724;1
725;1
726;1
727;2
728;1
729;1
730;1
731;5
732;1
733;1
734;1
735;1
736;1
737;1
738;2
739;1
740;1
741;4
742;1
743;1
744;2
745;1
746;2
747;1
748;1
749;2
750;4
751;1
752;1
753;2
754;2
755;1
756;1
757;1
758;1
759;1
760;1
761;1
762;2
763;3
764;1
765;1
766;1
767;2
768;1
769;2
770;1
771;1
772;1
773;4
774;2
775;1
776;2
777;4
778;1
779;1
780;3
781;1
782;1
783;1
784;1
785;2
786;3
787;2
788;1
789;1
790;1
791;2
792;1
793;2
794;2
795;2
796;1
797;3
798;1
799;2
800;1
801;2
802;1
803;1
804;1
805;1
806;1
807;2
808;2
809;3
810;2
811;2
812;1
813;2
814;1
815;1
816;1
817;1
818;1
819;1
820;2
821;1
822;1
823;1
824;1
825;4
826;3
827;1
828;1
829;2
830;3
831;3
832;1
833;1
834;3
835;1
836;1
837;2
838;1
839;2
840;1
841;1
842;3
843;3
844;5
845;2
846;3
847;1
848;1
849;2
850;2
851;2
852;2
853;1
854;1
855;1
856;1
857;1
858;2
859;1
860;1
861;1
862;1
863;1
864;1
865;3
866;2
867;1
868;1
869;2
870;1
871;2
872;2
873;1
874;1
875;1
876;2
877;1
878;1
879;3
880;1
881;5
882;1
883;3
884;3
885;2
886;1
887;2
888;2
889;2
890;1
891;1
892;1
893;2
894;2
895;1
896;2
897;1
898;1
899;2
900;2
901;2
902;2
903;1
904;1
905;2
906;4
907;4
908;3
909;1
910;1
911;1
912;2
913;1
914;1
915;2
916;1
917;1
918;1
919;1
920;1
921;1
922;1
923;3
924;1
925;1
926;1
927;3
928;3
929;4
930;1
931;1
932;4
933;1
934;3
935;1
936;1
937;1
938;1
939;2
940;2
941;1
942;1
943;1
944;1
945;1
946;1
947;2
948;2
949;2
950;1
951;2
952;1
953;1
954;1
955;1
956;1
957;1
958;1
959;1
960;1
961;2
962;1
963;1
964;1
