Number;SizeGraphs
0;13
1;5
2;24
3;19
4;22
5;22
6;16
7;19
8;19
9;10
10;31
11;246
12;5
13;15
14;15
15;36
16;15
17;18
18;7
19;14
20;14
21;10
22;92
23;21
24;15
25;15
26;86
27;10
28;22
29;10
30;37
31;20
32;10
33;18
34;12
35;12
36;12
37;2
38;2
39;9
40;24
41;186
42;11
43;8
44;7
45;7
46;7
47;14
48;17
49;10
50;324
51;145
52;10
53;21
54;21
55;12
56;12
57;12
58;12
59;10
60;10
61;14
62;24
63;11
64;50
65;13
66;7
67;13
68;13
69;2
70;32
71;15
72;15
73;19
74;7
75;10
76;7
77;18
78;45
79;7
80;95
81;7
82;7
83;2
84;214
85;7
86;24
87;7
88;7
89;16
90;7
91;7
92;7
93;7
94;7
95;7
96;12
97;7
98;10
99;7
100;24
101;7
102;57
103;24
104;12
105;7
106;112
107;13
108;15
109;23
110;15
111;27
112;9
113;7
114;18
115;11
116;11
117;15
118;10
119;39
120;150
121;18
122;19
123;18
124;7
125;24
126;40
127;10
128;95
129;2
130;3
131;2
132;7
133;15
134;44
135;20
136;14
137;20
138;20
139;13
140;18
141;60
142;35
143;10
144;209
145;32
146;15
147;9
148;10
149;7
150;7
151;17
152;102
153;5
154;5
155;6
156;80
157;23
158;29
159;7
160;7
161;53
162;3
163;17
164;9
165;7
166;26
167;15
168;15
169;25
170;14
171;81
172;10
173;10
174;13
175;7
176;140
177;10
178;10
179;10
180;10
181;75
182;10
183;10
184;10
185;10
186;10
187;10
188;9
189;10
190;19
191;10
192;16
193;23
194;14
195;32
196;88
197;15
198;10
199;14
200;17
201;15
202;15
203;4
204;58
205;14
206;26
207;10
208;19
209;7
210;7
211;3
212;3
213;3
214;3
215;3
216;3
217;12
218;3
219;3
220;16
221;3
222;3
223;16
224;3
225;19
226;3
227;8
228;3
229;8
230;13
231;5
232;5
233;5
234;5
235;5
236;5
237;37
238;5
239;5
240;5
241;51
242;9
243;28
244;23
245;8
246;24
247;16
248;10
249;10
250;6
251;43
252;69
253;47
254;10
255;15
256;87
257;14
258;14
259;19
260;14
261;7
262;7
263;7
264;96
265;10
266;402
267;7
268;8
269;8
270;6
271;2
272;8
273;9
274;8
275;9
276;19
277;5
278;21
279;10
280;20
281;10
282;10
283;10
284;206
285;63
286;11
287;107
288;11
289;4
290;526
291;16
292;325
293;7
294;9
295;7
296;7
297;19
298;12
299;22
300;64
301;14
302;46
303;11
304;11
305;2
306;4
307;11
308;12
309;11
310;10
311;2
312;33
313;5
314;2
315;19
316;2
317;4
318;2
319;22
320;16
321;2
322;4
323;4
324;13
325;8
326;11
327;11
328;11
329;11
330;7
331;10
332;7
333;36
334;11
335;33
336;5
337;39
338;2
339;4
340;91
341;10
342;4
343;4
344;7
345;39
346;21
347;7
348;10
349;27
350;50
351;2
352;19
353;20
354;14
355;2
356;11
357;13
358;18
359;12
360;17
361;53
362;33
363;11
364;219
365;18
366;13
367;133
368;68
369;18
370;6
371;42
372;35
373;34
374;23
375;34
376;10
377;20
378;16
379;13
380;22
381;23
382;5
383;14
384;59
385;7
386;28
387;30
388;51
389;27
390;48
391;30
392;27
393;22
394;36
395;15
396;20
397;16
398;12
399;6
400;6
401;10
402;10
403;10
404;20
405;10
406;7
407;17
408;7
409;7
410;7
411;7
412;333
413;7
414;30
415;7
416;7
417;7
418;17
419;7
420;30
421;7
422;6
423;7
424;7
425;6
426;7
427;27
428;7
429;7
430;30
431;102
432;14
433;11
434;10
435;10
436;330
437;15
438;48
439;2
440;38
441;36
442;13
443;42
444;13
445;12
446;7
447;2
448;6
449;10
450;10
451;4
452;43
453;2
454;13
455;13
456;6
457;18
458;16
459;20
460;40
461;4
462;4
463;88
464;8
465;13
466;9
467;13
468;9
469;15
470;13
471;9
472;13
473;9
474;9
475;11
476;16
477;12
478;15
479;20
480;19
481;4
482;4
483;4
484;4
485;4
486;76
487;26
488;4
489;4
490;4
491;4
492;4
493;4
494;15
495;4
496;4
497;4
498;14
499;6
500;6
501;44
502;10
503;24
504;22
505;6
506;8
507;7
508;39
509;4
510;6
511;7
512;14
513;24
514;7
515;7
516;13
517;7
518;14
519;128
520;16
521;13
522;15
523;20
524;19
525;10
526;11
527;7
528;204
529;6
530;7
531;36
532;15
533;32
534;38
535;10
536;22
537;3
538;28
539;4
540;14
541;4
542;36
543;19
544;6
545;15
546;100
547;16
548;16
549;16
550;21
551;12
552;12
553;7
554;35
555;65
556;35
557;9
558;32
559;12
560;6
561;12
562;6
563;6
564;6
565;7
566;7
567;5
568;10
569;10
570;9
571;8
572;23
573;12
574;7
575;31
576;25
577;12
578;12
579;23
580;27
581;59
582;18
583;10
584;15
585;13
586;6
587;13
588;27
589;83
590;31
591;13
592;13
593;7
594;12
595;31
596;12
597;19
598;114
599;25
600;21
601;39
602;45
603;21
604;10
605;5
606;14
607;10
608;162
609;45
610;24
611;34
612;7
613;92
614;30
615;10
616;14
617;36
618;30
619;7
620;13
621;9
622;23
623;4
624;14
625;2
626;5
627;3
628;3
629;3
630;3
631;13
632;3
633;33
634;21
635;20
636;56
637;3
638;31
639;6
640;55
641;13
642;6
643;6
644;48
645;9
646;6
647;28
648;6
649;8
650;9
651;6
652;35
653;29
654;58
655;5
656;14
657;44
658;13
659;50
660;21
661;14
662;2
663;2
664;2
665;2
666;15
667;20
668;17
669;8
670;49
671;8
672;4
673;14
674;20
675;10
676;102
677;7
678;8
679;367
680;7
681;11
682;78
683;4
684;4
685;10
686;10
687;25
688;6
689;6
690;7
691;7
692;7
693;9
694;8
695;10
696;8
697;21
698;11
699;22
700;9
701;2
702;34
703;38
704;14
705;50
706;7
707;7
708;67
709;4
710;10
711;10
712;4
713;10
714;7
715;7
716;2
717;12
718;58
719;9
720;8
721;17
722;19
723;17
724;7
725;9
726;45
727;14
728;18
729;19
730;54
731;8
732;8
733;27
734;35
735;9
736;78
737;29
738;14
739;7
740;6
741;21
742;9
743;10
744;18
745;80
746;12
747;12
748;118
749;14
750;17
751;7
752;2
753;2
754;2
755;2
756;11
757;11
758;11
759;13
760;50
761;13
762;85
763;18
764;7
765;7
766;7
767;7
768;14
769;20
770;15
771;14
772;18
773;14
774;21
775;9
776;37
777;16
778;98
779;28
780;17
781;2
782;2
783;9
784;13
785;2
786;2
787;9
788;9
789;9
790;12
791;5
792;40
793;11
794;10
795;9
796;6
797;150
798;6
799;9
800;2
801;2
802;8
803;12
804;7
805;10
806;12
807;169
808;56
809;28
810;14
811;19
812;30
813;116
814;17
815;7
816;7
817;8
818;27
819;7
820;7
821;20
822;20
823;59
824;10
825;11
826;6
827;14
828;7
829;21
830;7
831;12
832;7
833;2
834;26
835;10
836;11
837;277
838;7
839;7
840;12
841;7
842;10
843;10
844;7
845;7
846;7
847;7
848;7
849;79
850;7
851;7
852;7
853;150
854;18
855;7
856;7
857;7
858;7
859;7
860;20
861;21
862;14
863;10
864;10
865;16
866;16
867;16
868;7
869;7
870;17
871;15
872;11
873;2
874;12
875;14
876;10
877;3
878;22
879;22
880;28
881;22
882;22
883;22
884;22
885;16
886;39
887;16
888;22
889;22
890;16
891;16
892;7
893;13
894;13
895;49
896;36
897;104
898;7
899;15
900;31
901;27
902;42
903;31
904;33
905;52
906;10
907;42
908;11
909;14
910;7
911;7
912;7
913;47
914;11
915;24
916;20
917;16
918;23
919;333
920;7
921;13
922;7
923;7
924;12
925;7
926;27
927;12
928;9
929;25
930;121
931;15
932;14
933;11
934;11
935;10
936;9
937;10
938;37
939;85
940;7
941;38
942;8
943;14
944;10
945;31
946;19
947;17
948;17
949;17
950;14
951;10
952;15
953;17
954;15
955;7
956;12
957;6
958;13
959;28
960;2
961;12
962;30
963;16
964;2
965;16
966;10
967;466
968;10
969;10
970;10
971;23
972;37
973;13
974;2
975;32
976;5
977;10
978;10
979;25
980;6
981;13
982;6
983;6
984;2
985;6
986;6
987;2
988;7
989;2
990;7
991;12
992;23
993;9
994;12
995;2
996;4
997;5
998;5
999;5
1000;14
1001;10
1002;2
1003;2
1004;2
1005;2
1006;2
1007;2
1008;2
1009;2
1010;2
1011;2
1012;2
1013;10
1014;7
1015;12
1016;4
1017;127
1018;7
1019;7
1020;7
1021;7
1022;7
1023;17
1024;16
1025;10
1026;10
1027;38
1028;10
1029;4
1030;7
1031;7
1032;7
1033;26
1034;5
1035;77
1036;8
1037;8
1038;9
1039;8
1040;8
1041;2
1042;6
1043;5
1044;62
1045;56
1046;120
1047;5
1048;5
1049;5
1050;5
1051;5
1052;5
1053;5
1054;5
1055;8
1056;8
1057;8
1058;8
1059;2
1060;8
1061;3
1062;35
1063;3
1064;16
1065;47
1066;8
1067;5
1068;53
1069;37
1070;5
1071;33
1072;37
1073;54
1074;22
1075;35
1076;55
1077;7
1078;42
1079;8
1080;3
1081;8
1082;78
1083;12
1084;3
1085;43
1086;5
1087;11
1088;10
1089;2
1090;8
1091;9
1092;2
1093;13
1094;78
1095;52
1096;2
1097;11
1098;13
1099;13
1100;32
1101;14
1102;13
1103;58
1104;7
1105;4
1106;7
1107;9
1108;2
1109;13
1110;7
1111;7
1112;11
1113;9
1114;7
1115;7
1116;9
1117;322
1118;26
1119;8
1120;12
1121;26
1122;6
1123;7
1124;9
1125;10
1126;10
1127;7
1128;9
1129;11
1130;24
1131;7
1132;7
1133;14
1134;13
1135;2
1136;38
1137;7
1138;9
1139;11
1140;7
1141;14
1142;21
1143;7
1144;9
1145;7
1146;7
1147;7
1148;13
1149;13
1150;7
1151;7
1152;9
1153;13
1154;9
1155;51
1156;15
1157;9
1158;8
1159;20
1160;3
1161;3
1162;7
1163;5
1164;20
1165;57
1166;14
1167;112
1168;55
1169;19
1170;8
1171;4
1172;43
1173;8
1174;13
1175;19
1176;25
1177;10
1178;14
1179;7
1180;30
1181;2
1182;2
1183;17
1184;12
1185;14
1186;21
1187;8
1188;32
1189;6
1190;13
1191;7
1192;7
1193;24
1194;3
1195;3
1196;3
1197;11
1198;11
1199;3
1200;6
1201;6
1202;7
1203;23
1204;10
1205;152
1206;10
1207;10
