Id;Project;MainFT;RelatedFT;Category
1;djapal-sfvchecker;javafx.util.Callback#;javafx.scene.control.TableCell#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
2;djapal-sfvchecker;javafx.application.Application#;javafx.util.Callback#;CLIENT_METHOD_DECLARATION-INSTANTIATION-CLIENT_METHOD_DECLARATION-INSTANTIATION-CLIENT_METHOD_DECLARATION-INSTANTIATION-CLIENT_METHOD_DECLARATION-INSTANTIATION-CLIENT_METHOD_DECLARATION-INSTANTIATION-
3;djapal-sfvchecker;javafx.application.Application#;javafx.event.EventHandler#;CLIENT_METHOD_DECLARATION-INSTANTIATION-
4;djapal-sfvchecker;javafx.application.Application#;javafx.event.EventHandler#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
5;djapal-sfvchecker;javafx.application.Application#;javafx.concurrent.Task#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
6;djapal-sfvchecker;javafx.event.EventHandler#;javafx.concurrent.Task#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
7;simonsimonsimonsimonsimon-goserver;javafx.application.Application#;javafx.event.EventHandler#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
8;tarunbod-SummonCommandCreator;javafx.event.EventHandler#;javafx.animation.Transition#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
9;tarunbod-SummonCommandCreator;javafx.event.EventHandler#;javafx.event.EventHandler#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
10;tarunbod-SummonCommandCreator;javafx.event.EventHandler#;javafx.animation.Transition#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
11;tarunbod-SummonCommandCreator;javafx.event.EventHandler#;javafx.animation.Transition#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
12;tarunbod-SummonCommandCreator;javafx.event.EventHandler#;javafx.animation.Transition#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
13;tarunbod-SummonCommandCreator;javafx.fxml.Initializable#;javafx.animation.Transition#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
14;tarunbod-SummonCommandCreator;javafx.fxml.Initializable#;javafx.beans.value.ChangeListener#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
15;tarunbod-SummonCommandCreator;javafx.fxml.Initializable#;javafx.event.EventHandler#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
16;Baschdl578-ColorReduction;javafx.application.Application#;javafx.beans.value.ChangeListener#;CLIENT_METHOD_DECLARATION-INSTANTIATION-
17;Baschdl578-ColorReduction;javafx.application.Application#;javafx.event.EventHandler#;CLIENT_METHOD_DECLARATION-INSTANTIATION-
18;Baschdl578-ColorReduction;javafx.application.Application#;javafx.beans.value.ChangeListener#;CLIENT_METHOD_DECLARATION-INSTANTIATION-
19;Baschdl578-ColorReduction;javafx.application.Application#;javafx.event.EventHandler#;CLIENT_METHOD_DECLARATION-INSTANTIATION-
20;KraiZeur-library;javafx.event.EventHandler#;javafx.event.EventHandler#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
21;KraiZeur-library;javafx.event.EventHandler#;javafx.event.EventHandler#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
22;KraiZeur-library;javafx.application.Application#;javafx.event.EventHandler#;CLIENT_METHOD_DECLARATION-INSTANTIATION-
23;KraiZeur-library;javafx.application.Application#;javafx.scene.layout.StackPane#;FIELD_DECLARATION-
24;KraiZeur-library;javafx.application.Application#;javafx.scene.layout.BorderPane#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
25;KraiZeur-library;javafx.event.EventHandler#;javafx.event.EventHandler#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
26;KraiZeur-library;javafx.event.EventHandler#;javafx.event.EventHandler#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
27;ajithkp560-quizmaster;javafx.fxml.Initializable#;javafx.animation.Transition#;CLIENT_METHOD_DECLARATION-INSTANTIATION-CLIENT_METHOD_DECLARATION-INSTANTIATION-
28;ajithkp560-quizmaster;javafx.fxml.Initializable#;javafx.beans.value.ChangeListener#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
29;ajithkp560-quizmaster;javafx.fxml.Initializable#;javafx.event.EventHandler#;CLIENT_METHOD_DECLARATION-INSTANTIATION-
30;cyberaka-fxddp_poc;javafx.application.Application#;javafx.concurrent.Service#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
31;cyberaka-fxddp_poc;javafx.application.Application#;javafx.fxml.Initializable#;FIELD_DECLARATION-
32;cyberaka-fxddp_poc;javafx.fxml.Initializable#;javafx.event.EventHandler#;CLIENT_METHOD_DECLARATION-INSTANTIATION-FIELD_DECLARATION-
33;cyberaka-fxddp_poc;javafx.event.EventHandler#;javafx.stage.Stage#;CLIENT_METHOD_DECLARATION-INSTANTIATION-
34;cyberaka-fxddp_poc;javafx.event.EventHandler#;javafx.fxml.Initializable#;CLIENT_METHOD_DECLARATION-PARAMETER_DECLARATION-FIELD_DECLARATION-
35;cyberaka-fxddp_poc;javafx.event.EventHandler#;javafx.event.EventHandler#;CLIENT_METHOD_DECLARATION-INSTANTIATION-
36;cyberaka-fxddp_poc;javafx.concurrent.Service#;javafx.concurrent.Task#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
37;ProgrammerTony-Chemistry-Calculator;javafx.event.EventHandler#;javafx.event.EventHandler#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
38;ProgrammerTony-Chemistry-Calculator;javafx.event.EventHandler#;javafx.event.EventHandler#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
39;ProgrammerTony-Chemistry-Calculator;javafx.application.Application#;javafx.animation.AnimationTimer#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
40;ProgrammerTony-Chemistry-Calculator;javafx.application.Application#;javafx.event.EventHandler#;CLIENT_METHOD_DECLARATION-INSTANTIATION-
41;RawanFarwana-DrawApp;javafx.application.Application#;javafx.event.EventHandler#;CLIENT_METHOD_DECLARATION-INSTANTIATION-
42;kcy1860-viterbi;javafx.application.Application#;javafx.scene.Group#;CLIENT_METHOD_DECLARATION-INSTANTIATION-CLIENT_METHOD_DECLARATION-INSTANTIATION-FIELD_DECLARATION-FIELD_DECLARATION-
43;kcy1860-viterbi;javafx.application.Application#;javafx.event.EventHandler#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
44;RUAN0007-Simulator;javafx.application.Application#;javafx.event.EventHandler#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
45;stachura93-imageDownloadJavaFX;javafx.fxml.Initializable#;javafx.stage.Stage#;CLIENT_METHOD_DECLARATION-INSTANTIATION-
46;stachura93-imageDownloadJavaFX;javafx.fxml.Initializable#;javafx.beans.value.ChangeListener#;CLIENT_METHOD_DECLARATION-INSTANTIATION-
47;stachura93-imageDownloadJavaFX;javafx.fxml.Initializable#;javafx.beans.value.ChangeListener#;CLIENT_METHOD_DECLARATION-INSTANTIATION-
48;skrb-SimplePresenter;javafx.fxml.Initializable#;javafx.event.EventHandler#;CLIENT_METHOD_DECLARATION-INSTANTIATION-
49;skrb-SimplePresenter;javafx.fxml.Initializable#;javafx.event.EventHandler#;CLIENT_METHOD_DECLARATION-INSTANTIATION-
50;skrb-SimplePresenter;javafx.fxml.Initializable#;javafx.event.EventHandler#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
51;skrb-SimplePresenter;javafx.application.Application#;javafx.event.EventHandler#;CLIENT_METHOD_DECLARATION-INSTANTIATION-
52;skrb-SimplePresenter;javafx.application.Application#;javafx.event.EventHandler#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
53;viniciusbellini-Praticando;javafx.application.Application#;javafx.event.EventHandler#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
54;viniciusbellini-Praticando;javafx.application.Application#;javafx.application.Application#;OVERRIDING_METHOD_DECLARATION-METHOD_CALL-OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
55;viniciusbellini-Praticando;javafx.application.Application#;javafx.application.Application#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
56;viniciusbellini-Praticando;javafx.event.EventHandler#;javafx.application.Application#;OVERRIDING_METHOD_DECLARATION-METHOD_CALL-OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
57;viniciusbellini-Praticando;javafx.event.EventHandler#;javafx.application.Application#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
58;HioLeong-DrawApp;javafx.application.Application#;javafx.scene.layout.VBox#;CLIENT_METHOD_DECLARATION-INSTANTIATION-
59;HioLeong-DrawApp;javafx.application.Application#;javafx.event.EventHandler#;CLIENT_METHOD_DECLARATION-INSTANTIATION-
60;HioLeong-DrawApp;javafx.scene.layout.VBox#;javafx.scene.layout.Pane#;CLIENT_METHOD_DECLARATION-RETURN_TYPE-FIELD_DECLARATION-
61;HioLeong-DrawApp;javafx.scene.layout.Pane#;javafx.scene.Group#;CLIENT_METHOD_DECLARATION-INSTANTIATION-FIELD_DECLARATION-
62;VectorSoftworks-MediaRealmOfficial;javafx.application.Application#;javafx.event.EventHandler#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
63;VectorSoftworks-MediaRealmOfficial;javafx.fxml.Initializable#;javafx.event.EventHandler#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
64;joelburget-miftiwac;javafx.event.EventHandler#;javafx.event.EventHandler#;OVERRIDING_METHOD_DECLARATION-INSTANTIATION-
