Number;SizeGraphs
0;131
1;131
2;152
3;14
4;14
5;14
6;14
7;14
8;14
9;14
10;14
11;14
12;14
13;14
14;14
15;14
16;14
17;14
18;14
19;14
20;14
21;14
22;14
23;14
24;14
25;14
26;14
27;14
28;14
29;14
30;14
31;14
32;14
33;14
34;14
35;14
36;14
37;14
38;14
39;14
40;14
41;14
42;14
43;14
44;14
45;150
46;150
47;177
48;38
49;38
50;38
51;38
52;38
53;38
54;38
55;38
56;38
57;38
58;38
59;38
60;38
61;38
62;38
63;38
64;38
65;38
66;38
67;38
68;38
69;38
70;65
71;65
72;65
73;65
74;65
75;65
76;65
77;67
78;67
79;67
80;67
81;80
82;80
83;80
84;10
85;10
86;10
87;10
88;10
89;10
90;10
91;10
92;10
93;10
94;10
95;10
96;10
97;10
98;10
99;10
100;10
101;10
102;10
103;10
104;10
105;10
106;10
107;10
108;10
109;10
110;10
111;10
112;10
113;10
114;10
115;10
116;10
117;10
118;10
119;10
120;10
121;10
122;10
123;10
124;10
125;10
126;10
127;10
128;10
129;10
130;10
131;10
132;10
133;10
134;10
135;10
136;10
137;10
138;10
139;10
140;10
141;10
142;10
143;10
144;10
145;10
146;10
147;10
148;10
149;10
150;10
151;10
152;10
153;10
154;10
155;10
156;10
157;10
158;10
159;10
160;10
161;10
162;10
163;10
164;179
165;112
166;34
167;34
168;34
169;34
170;34
171;34
172;34
173;34
174;34
175;34
176;34
177;34
178;34
179;34
180;34
181;34
182;34
183;34
184;84
185;84
186;84
187;63
188;63
189;63
190;63
191;173
192;110
193;110
194;61
195;61
196;61
197;61
198;61
199;61
200;61
201;44
202;44
203;44
204;44
205;44
206;44
207;44
208;44
209;44
210;137
211;82
212;169
213;8
214;8
215;8
216;8
217;8
218;8
219;8
220;8
221;8
222;8
223;8
224;8
225;8
226;8
227;8
228;8
229;8
230;8
231;8
232;8
233;8
234;8
235;8
236;8
237;8
238;8
239;8
240;8
241;8
242;8
243;8
244;8
245;8
246;8
247;8
248;8
249;8
250;8
251;8
252;8
253;8
254;8
255;8
256;8
257;8
258;8
259;8
260;8
261;8
262;8
263;8
264;8
265;8
266;8
267;8
268;8
269;8
270;8
271;8
272;8
273;8
274;8
275;8
276;8
277;8
278;8
279;8
280;8
281;8
282;8
283;8
284;8
285;8
286;8
287;8
288;8
289;8
290;8
291;8
292;8
293;8
294;8
295;8
296;8
297;8
298;8
299;8
300;8
301;8
302;8
303;8
304;8
305;8
306;8
307;8
308;8
309;8
310;8
311;8
312;8
313;8
314;8
315;8
316;8
317;8
318;8
319;8
320;94
321;94
322;94
323;108
324;248
325;50
326;50
327;50
328;50
329;50
330;50
331;367
332;77
333;77
334;77
335;77
336;77
337;90
338;90
339;4
340;4
341;4
342;4
343;4
344;4
345;4
346;4
347;4
348;4
349;4
350;4
351;4
352;4
353;4
354;4
355;4
356;4
357;4
358;4
359;4
360;4
361;4
362;4
363;4
364;4
365;4
366;4
367;4
368;4
369;4
370;4
371;4
372;4
373;4
374;4
375;4
376;4
377;4
378;4
379;4
380;4
381;4
382;4
383;4
384;4
385;4
386;4
387;4
388;4
389;4
390;4
391;4
392;4
393;4
394;4
395;4
396;4
397;4
398;4
399;4
400;4
401;4
402;4
403;4
404;4
405;4
406;4
407;4
408;4
409;4
410;4
411;4
412;4
413;4
414;4
415;4
416;4
417;4
418;4
419;4
420;4
421;4
422;4
423;4
424;4
425;4
426;4
427;4
428;4
429;4
430;4
431;4
432;4
433;4
434;4
435;4
436;4
437;4
438;4
439;4
440;4
441;4
442;4
443;4
444;4
445;4
446;4
447;4
448;4
449;4
450;4
451;4
452;4
453;4
454;4
455;4
456;4
457;4
458;4
459;4
460;4
461;4
462;4
463;4
464;4
465;4
466;4
467;4
468;4
469;4
470;4
471;4
472;4
473;4
474;4
475;4
476;4
477;4
478;4
479;4
480;4
481;4
482;4
483;4
484;4
485;4
486;4
487;4
488;4
489;4
490;4
491;4
492;4
493;4
494;4
495;4
496;4
497;4
498;4
499;4
500;4
501;4
502;4
503;4
504;4
505;4
506;4
507;4
508;4
509;4
510;4
511;4
512;4
513;4
514;127
515;146
516;7
517;7
518;7
519;7
520;7
521;7
522;7
523;7
524;7
525;7
526;7
527;7
528;7
529;7
530;7
531;7
532;7
533;7
534;7
535;7
536;7
537;7
538;7
539;7
540;7
541;7
542;7
543;7
544;7
545;7
546;7
547;7
548;7
549;7
550;7
551;7
552;7
553;7
554;7
555;7
556;7
557;7
558;7
559;7
560;7
561;7
562;7
563;7
564;7
565;7
566;7
